Date Time Inlet_Pressure Outlet_Pressure Confining_Pressure Temperature
17.11.2020 07:37:38 92.27 3.45 202.71 13.6
17.11.2020 07:37:48 92.18 3.51 202.7 13.6
17.11.2020 07:37:58 92.1 3.59 202.71 13.6
17.11.2020 07:38:08 92.05 3.66 202.7 13.6
17.11.2020 07:38:18 91.96 3.73 202.7 13.6
17.11.2020 07:38:28 91.88 3.81 202.68 13.6
17.11.2020 07:38:38 91.76 3.89 202.68 13.6
17.11.2020 07:38:48 91.71 3.96 202.67 13.6
17.11.2020 07:38:58 91.61 4.03 202.67 13.6
17.11.2020 07:39:08 91.53 4.1 202.65 13.6
17.11.2020 07:39:18 91.47 4.18 202.67 13.6
17.11.2020 07:39:28 91.36 4.26 202.65 13.6
17.11.2020 07:39:38 91.27 4.33 202.65 13.6
17.11.2020 07:39:48 91.22 4.39 202.65 13.6
17.11.2020 07:39:58 91.12 4.48 202.65 13.6
17.11.2020 07:40:08 91.03 4.54 202.65 13.6
17.11.2020 07:40:18 91 4.6 202.64 13.6
17.11.2020 07:40:28 90.88 4.67 202.65 13.6
17.11.2020 07:40:38 90.8 4.76 202.64 13.6
17.11.2020 07:40:48 90.72 4.83 202.62 13.5
17.11.2020 07:40:58 90.63 4.91 202.62 13.5
17.11.2020 07:41:08 90.57 4.97 202.62 13.5
17.11.2020 07:41:18 90.46 5.04 202.62 13.5
17.11.2020 07:41:28 90.4 5.11 202.62 13.5
17.11.2020 07:41:38 90.35 5.18 202.62 13.5
17.11.2020 07:41:48 90.25 5.26 202.62 13.5
17.11.2020 07:41:58 90.16 5.32 202.62 13.5
17.11.2020 07:42:08 90.1 5.4 202.6 13.5
17.11.2020 07:42:18 90 5.47 202.62 13.5
17.11.2020 07:42:28 89.93 5.54 202.59 13.5
17.11.2020 07:42:38 89.83 5.61 202.6 13.5
17.11.2020 07:42:48 89.75 5.68 202.56 13.5
17.11.2020 07:42:58 89.7 5.75 202.57 13.5
17.11.2020 07:43:08 89.58 5.82 202.56 13.5
17.11.2020 07:43:18 89.52 5.9 202.56 13.5
17.11.2020 07:43:28 89.45 5.97 202.56 13.5
17.11.2020 07:43:38 89.36 6.04 202.56 13.5
17.11.2020 07:43:48 89.28 6.11 202.56 13.5
17.11.2020 07:43:58 89.21 6.18 202.56 13.5
17.11.2020 07:44:08 89.12 6.25 202.56 13.5
17.11.2020 07:44:18 89.06 6.31 202.56 13.5
17.11.2020 07:44:28 88.98 6.37 202.56 13.5
17.11.2020 07:44:38 88.9 6.46 202.54 13.5
17.11.2020 07:44:48 88.82 6.53 202.54 13.5
17.11.2020 07:44:58 88.73 6.58 202.54 13.5
17.11.2020 07:45:08 88.63 6.66 202.53 13.5
17.11.2020 07:45:18 88.56 6.74 202.53 13.5
17.11.2020 07:45:28 88.51 6.8 202.53 13.5
17.11.2020 07:45:38 88.42 6.88 202.53 13.5
17.11.2020 07:45:48 88.33 6.94 202.53 13.5
17.11.2020 07:45:58 88.27 7.01 202.53 13.5
17.11.2020 07:46:08 88.17 7.09 202.51 13.5
17.11.2020 07:46:18 88.08 7.15 202.51 13.5
17.11.2020 07:46:28 88.03 7.21 202.51 13.5
17.11.2020 07:46:38 87.97 7.27 202.5 13.5
17.11.2020 07:46:48 87.87 7.35 202.5 13.5
17.11.2020 07:46:58 87.82 7.41 202.51 13.5
17.11.2020 07:47:08 87.72 7.48 202.5 13.5
17.11.2020 07:47:18 87.67 7.57 202.51 13.5
17.11.2020 07:47:28 87.6 7.61 202.51 13.5
17.11.2020 07:47:38 87.52 7.7 202.51 13.5
17.11.2020 07:47:48 87.42 7.76 202.51 13.5
17.11.2020 07:47:58 87.35 7.83 202.51 13.5
17.11.2020 07:48:08 87.3 7.9 202.51 13.5
17.11.2020 07:48:18 87.22 7.95 202.5 13.5
17.11.2020 07:48:28 87.13 8.03 202.5 13.5
17.11.2020 07:48:38 87.08 8.09 202.5 13.5
17.11.2020 07:48:48 86.98 8.16 202.48 13.5
17.11.2020 07:48:58 86.93 8.22 202.48 13.4
