Date Time Temperature Temperature_Out Temperature_In Inlet_Pressure Outlet_Pressure Confining_Pressure_Reactor Confining_Pressure_Sample
27.01.2023 10:00:43 14.2 13.9 14.1 11.18 0 21.48 12.61
27.01.2023 10:00:53 14.2 13.9 14.1 11.17 0.001 21.48 12.61
27.01.2023 10:01:03 14.2 13.9 14 11.17 0.001 21.48 12.61
27.01.2023 10:01:13 14.2 13.9 14 11.17 -0.001 21.48 12.61
27.01.2023 10:01:23 14.2 13.9 14 11.17 -0.001 21.48 12.61
27.01.2023 10:01:33 14.2 13.9 14 11.17 0.005 21.48 12.62
27.01.2023 10:01:43 14.2 13.9 14 11.16 0 21.48 12.62
27.01.2023 10:01:53 14.2 13.9 14 11.16 0.003 21.48 12.62
27.01.2023 10:02:03 14.2 13.9 14 11.16 0.003 21.48 12.62
27.01.2023 10:02:13 14.2 13.9 14 11.17 0.001 21.48 12.62
27.01.2023 10:02:23 14.2 13.9 14 11.16 0 21.48 12.62
27.01.2023 10:02:33 14.2 13.9 14 11.15 0.001 21.48 12.62
27.01.2023 10:02:43 14.1 13.9 14 11.15 0.003 21.48 12.63
27.01.2023 10:02:53 14.1 13.9 14 11.15 -0.001 21.48 12.63
27.01.2023 10:03:03 14.1 13.9 14 11.14 0.003 21.48 12.63
27.01.2023 10:03:13 14.1 13.9 14 11.15 0.001 21.48 12.63
27.01.2023 10:03:23 14.1 13.9 14 11.16 0.007 21.48 12.63
27.01.2023 10:03:33 14.2 13.9 14 11.14 0.007 21.48 12.63
27.01.2023 10:03:43 14.2 13.9 14 11.14 0.001 21.48 12.63
27.01.2023 10:03:53 14.2 13.9 14 11.14 0.003 21.48 12.63
27.01.2023 10:04:03 14.2 13.9 14 11.14 0 21.47 12.63
27.01.2023 10:04:13 14.1 13.9 14 11.15 0.001 21.46 12.63
27.01.2023 10:04:23 14.1 13.9 14 11.13 0.005 21.47 12.63
27.01.2023 10:04:33 14.1 13.9 14 11.13 0.005 21.47 12.63
27.01.2023 10:04:43 14.1 13.9 14 11.14 0.005 21.47 12.63
27.01.2023 10:04:53 14.1 13.9 14 11.13 0.005 21.47 12.63
27.01.2023 10:05:03 14.2 13.9 14 11.13 0.005 21.46 12.63
27.01.2023 10:05:13 14.1 13.9 14 11.12 0.011 21.46 12.63
27.01.2023 10:05:23 14.2 13.9 14 11.13 0.003 21.46 12.63
27.01.2023 10:05:33 14.1 13.9 14 11.13 0.009 21.46 12.63
27.01.2023 10:05:43 14.1 13.9 14 11.12 0.009 21.46 12.63
27.01.2023 10:05:53 14.1 13.9 14 11.13 0.003 21.46 12.63
27.01.2023 10:06:03 14.1 13.9 14 11.11 0.007 21.46 12.63
27.01.2023 10:06:13 14.1 13.9 14 11.11 0.003 21.46 12.63
27.01.2023 10:06:23 14.1 13.9 14 11.11 0.009 21.46 12.64
27.01.2023 10:06:33 14.1 13.9 14 11.12 0.009 21.46 12.64
27.01.2023 10:06:43 14.1 13.9 14 11.11 0.007 21.46 12.64
27.01.2023 10:06:53 14.1 13.9 14 11.11 0.011 21.46 12.64
27.01.2023 10:07:03 14.1 13.9 14 11.11 0.005 21.46 12.64
27.01.2023 10:07:13 14.1 13.9 14 11.1 0.009 21.46 12.64
27.01.2023 10:07:23 14.1 13.9 14 11.11 0.005 21.46 12.63
27.01.2023 10:07:33 14.1 13.9 14 11.1 0.007 21.46 12.64
27.01.2023 10:07:43 14.1 13.9 14 11.1 0.011 21.46 12.64
27.01.2023 10:07:53 14.1 13.9 14 11.1 0.005 21.46 12.64
27.01.2023 10:08:03 14 13.9 13.9 11.09 0.009 21.46 12.64
27.01.2023 10:08:13 14 13.9 14 11.1 0.013 21.46 12.64
27.01.2023 10:08:23 14 13.9 14 11.09 0.011 21.46 12.64
27.01.2023 10:08:33 14 13.9 14 11.09 0.009 21.46 12.64
27.01.2023 10:08:43 14 13.9 14 11.1 0.009 21.46 12.64
27.01.2023 10:08:53 14 13.9 14 11.09 0.013 21.46 12.64
27.01.2023 10:09:03 14 13.9 14 11.08 0.015 21.46 12.64
27.01.2023 10:09:13 14 13.9 14 11.08 0.007 21.46 12.64
27.01.2023 10:09:23 14 13.9 14 11.07 0.013 21.46 12.64
27.01.2023 10:09:33 14 13.9 14 11.08 0.013 21.46 12.64
27.01.2023 10:09:43 14 13.9 14 11.08 0.013 21.46 12.64
27.01.2023 10:09:53 14 13.9 14 11.08 0.011 21.46 12.64
27.01.2023 10:10:03 14 13.9 14 11.07 0.015 21.46 12.64
27.01.2023 10:10:13 14 13.9 14 11.07 0.015 21.46 12.64
27.01.2023 10:10:23 14 13.9 14 11.06 0.013 21.45 12.64
27.01.2023 10:10:33 14 13.9 14 11.07 0.013 21.45 12.64
27.01.2023 10:10:43 14 13.9 14 11.07 0.015 21.45 12.64
27.01.2023 10:10:53 14 13.9 14.1 11.06 0.016 21.45 12.64
27.01.2023 10:11:03 14 13.9 14 11.07 0.015 21.45 12.64
27.01.2023 10:11:13 14 13.9 14 11.05 0.015 21.46 12.64
